code,display_name
SCAN_etfDistribFreq_DESC,Distribution Frequency (AltaVista) Desc
SCAN_lipperDistributionYield1yrValue_ASC,Distribution Yield 1Yr Asc
SCAN_lipperDistributionYield1yrValue_DESC,Distribution Yield 1Yr Desc
SCAN_lipperDividendPayoutRatio5yr_ASC,Dividend Payout Ratio - 5Yr Asc
SCAN_lipperDividendPayoutRatio5yr_DESC,Dividend Payout Ratio - 5Yr Desc
SCAN_lipperDividendPayoutRatio_ASC,Dividend Payout Ratio Asc
SCAN_lipperDividendPayoutRatio_DESC,Dividend Payout Ratio Desc
SCAN_lipperDividendPerShare1yr_ASC,Dividend Per Share 1Yr Asc
SCAN_lipperDividendPerShare1yr_DESC,Dividend Per Share 1Yr Desc
SCAN_lipperDividendPerShare3yr_ASC,Dividend Per Share 3Yr Asc
SCAN_lipperDividendPerShare3yr_DESC,Dividend Per Share 3Yr Desc
SCAN_lipperDividendYieldWAvg_ASC,Dividend Yield Weighted Average Asc
SCAN_lipperDividendYieldWAvg_DESC,Dividend Yield Weighted Average Desc
SCAN_lipperDividendYieldZScore_ASC,Dividend Yield Z-Score Latest Asc
SCAN_lipperDividendYieldZScore_DESC,Dividend Yield Z-Score Latest Desc
SCAN_lipperDownsideDeviationPopulation1yr_ASC,Downside Deviation 1Yr Asc
SCAN_lipperDownsideDeviationPopulation1yr_DESC,Downside Deviation 1Yr Desc
SCAN_lipperEBIT2Interest_ASC,EBIT to Interest Asc
SCAN_lipperEBIT2Interest_DESC,EBIT to Interest Desc
SCAN_lipperEffectiveMaturity_ASC,Effective Maturity Asc
SCAN_lipperEffectiveMaturity_DESC,Effective Maturity Desc
SCAN_etfEmg_ASC,Emerging Market Exposure (AltaVista) Asc
SCAN_etfEmg_DESC,Emerging Market Exposure (AltaVista) Desc
SCAN_epsChangeTTM_ASC,EPS Chg TTM % (Refinitiv) Asc
SCAN_epsChangeTTM_DESC,EPS Chg TTM % (Refinitiv) Desc
SCAN_lipperEPSGrowth1yr_ASC,EPS Growth - 1Yr Asc
SCAN_lipperEPSGrowth1yr_DESC,EPS Growth - 1Yr Desc
SCAN_lipperEPSGrowth3yr_ASC,EPS Growth - 3Yr Asc
SCAN_lipperEPSGrowth3yr_DESC,EPS Growth - 3Yr Desc
SCAN_lipperEPSGrowth5yr_ASC,EPS Growth - 5Yr Asc
SCAN_lipperEPSGrowth5yr_DESC,EPS Growth - 5Yr Desc
SCAN_esgCombinedScore_ASC,ESG Combined Score (Refinitiv) Asc
SCAN_esgCombinedScore_DESC,ESG Combined Score (Refinitiv) Desc
SCAN_esgCommunityScore_ASC,ESG Community Score (Refinitiv) Asc
SCAN_esgCommunityScore_DESC,ESG Community Score (Refinitiv) Desc
SCAN_esgControversiesScore_ASC,ESG Controversies Score (Refinitiv) Asc
SCAN_esgControversiesScore_DESC,ESG Controversies Score (Refinitiv) Desc
SCAN_esgCorpGovPillarScore_ASC,ESG Corporate Governance Score (Refinitiv) Asc
SCAN_esgCorpGovPillarScore_DESC,ESG Corporate Governance Score (Refinitiv) Desc
SCAN_esgStrategyScore_ASC,ESG CSR Strategy Score (Refinitiv) Asc
SCAN_esgStrategyScore_DESC,ESG CSR Strategy Score (Refinitiv) Desc
SCAN_esgEmissionsScore_ASC,ESG Emissions Score (Refinitiv) Asc
SCAN_esgEmissionsScore_DESC,ESG Emissions Score (Refinitiv) Desc
SCAN_esgEnvInvScore_ASC,ESG Environmental Innovation Score (Refinitiv) Asc
SCAN_esgEnvInvScore_DESC,ESG Environmental Innovation Score (Refinitiv) Desc
SCAN_esgEnvPillarScore_ASC,ESG Environmental Score (Refinitiv) Asc
SCAN_esgEnvPillarScore_DESC,ESG Environmental Score (Refinitiv) Desc
SCAN_esgHrScore_ASC,ESG Human Rights Score (Refinitiv) Asc
SCAN_esgHrScore_DESC,ESG Human Rights Score (Refinitiv) Desc
SCAN_esgManagementScore_ASC,ESG Management Score (Refinitiv) Asc
SCAN_esgManagementScore_DESC,ESG Management Score (Refinitiv) Desc
SCAN_esgProdRespScore_ASC,ESG Product Responsibility Score (Refinitiv) Asc
SCAN_esgProdRespScore_DESC,ESG Product Responsibility Score (Refinitiv) Desc
SCAN_esgResourceUseScore_ASC,ESG Resource Use Score (Refinitiv) Asc
SCAN_esgResourceUseScore_DESC,ESG Resource Use Score (Refinitiv) Desc
SCAN_esgScore_ASC,ESG Score (Refinitiv) Asc
SCAN_esgScore_DESC,ESG Score (Refinitiv) Desc
SCAN_esgShareholdersScore_ASC,ESG Shareholders Score (Refinitiv) Asc
SCAN_esgShareholdersScore_DESC,ESG Shareholders Score (Refinitiv) Desc
SCAN_esgSocialPillarScore_ASC,ESG Social Score (Refinitiv) Asc
SCAN_esgSocialPillarScore_DESC,ESG Social Score (Refinitiv) Desc
SCAN_esgWorkforceScore_ASC,ESG Workforce Score (Refinitiv) Asc
SCAN_esgWorkforceScore_DESC,ESG Workforce Score (Refinitiv) Desc
SCAN_etfExpense_ASC,Expense (AltaVista) Asc
SCAN_etfExpense_DESC,Expense (AltaVista) Desc
SCAN_mfExpenseScore10yr_ASC,Expense Score - 10yr Asc
SCAN_mfExpenseScore10yr_DESC,Expense Score - 10yr Desc
SCAN_mfExpenseScore3yr_ASC,Expense Score - 3yr Asc
SCAN_mfExpenseScore3yr_DESC,Expense Score - 3yr Desc
SCAN_mfExpenseScore5yr_ASC,Expense Score - 5yr Asc
SCAN_mfExpenseScore5yr_DESC,Expense Score - 5yr Desc
SCAN_mfExpenseScoreOverall_ASC,Expense Score - Overall Asc
SCAN_mfExpenseScoreOverall_DESC,Expense Score - Overall Desc
SCAN_feeRate_DESC,Fee Rate (High-Low)
SCAN_feeRate_ASC,Fee Rate (Low-High)
SCAN_etfFwd_Yld_ASC,Forward Dividend Yield (AltaVista) Asc
SCAN_etfFwd_Yld_DESC,Forward Dividend Yield (AltaVista) Desc
SCAN_etfFwd_PCF_ASC,Forward Price/Cash Flow (AltaVista) Asc
SCAN_etfFwd_PCF_DESC,Forward Price/Cash Flow (AltaVista) Desc
SCAN_etfFwd_PE_ASC,Forward Price/Earnings (AltaVista) Asc
SCAN_etfFwd_PE_DESC,Forward Price/Earnings (AltaVista) Desc
SCAN_lipperFundLeverageRatio_ASC,Fund Leverage Ratio Asc
SCAN_lipperFundLeverageRatio_DESC,Fund Leverage Ratio Desc
HALTED,Halted
HIGH_STVOLUME_10MIN,High 10min Volume
HIGH_STVOLUME_3MIN,High 3min Volume
HIGH_STVOLUME_5MIN,High 5min Volume
HIGH_BOND_DEBT_2_BOOK_RATIO,High Debt/Book (Refinitiv)
HIGH_BOND_DEBT_2_EQUITY_RATIO,High Debt/Equity
HIGH_BOND_DEBT_2_TAN_BOOK_RATIO,High Debt/Tang. Book (Refinitiv)
HIGH_DIVIDEND_YIELD_IB,High Dividend Yield
HIGH_BOND_EQUITY_2_BOOK_RATIO,High Equity/Book (Refinitiv)
HIGH_BOND_EQUITY_2_TAN_BOOK_RATIO,High Equity/Tang. Book (Refinitiv)
HIGH_GROWTH_RATE,High Growth Rate (Refinitiv)
HIGH_OPT_OPEN_INTEREST_PUT_CALL_RATIO,High Opt Open Interest P/C Ratio
HIGH_OPT_VOLUME_PUT_CALL_RATIO,High Opt Volume P/C Ratio
HIGH_OPT_IMP_VOLAT_OVER_HIST,High Option Imp Vol Over Historical
HIGH_PE_RATIO,High P/E Ratio (Refinitiv)
HIGH_PRICE_2_BOOK_RATIO,High Price/Book Ratio (Refinitiv)
HIGH_PRICE_2_TAN_BOOK_RATIO,High Price/Tang. Book Ratio (Refinitiv)
HIGH_QUICK_RATIO,High Quick Ratio (Refinitiv)
HIGH_RETURN_ON_EQUITY,High Return On Equity (Refinitiv)
HIGH_BOND_ASK_YIELD_ALL,Highest Ask Yield
HIGHEST_SLB_BID,Highest Bid
HIGH_OPT_IMP_VOLAT,Highest Option Imp Vol
HIGH_BOND_SPREAD_ALL,Highest Spread
TOP_STOCK_BUY_IMBALANCE_ADV_RATIO,Hot by Buy Imbalance
TOP_STOCK_BUY_REG_IMBALANCE_ADV_RATIO,Hot by Buy Regulatory Imbalance
HOT_BY_OPT_VOLUME,Hot By Opt Volume
HOT_BY_PRICE_RANGE,Hot By Price Range
TOP_STOCK_SELL_IMBALANCE_ADV_RATIO,Hot by Sell Imbalance
TOP_STOCK_SELL_REG_IMBALANCE_ADV_RATIO,Hot by Sell Regulatory Imbalance
HOT_BY_PRICE,Hot Contracts by Price
HOT_BY_VOLUME,Hot Contracts by Volume
SCAN_lipperInformationRatio1yr_ASC,Information Ratio 1Yr Asc
SCAN_lipperInformationRatio1yr_DESC,Information Ratio 1Yr Desc
SCAN_ihInsiderOfFloatPerc_ASC,Insider Shares as % of Float Asc
SCAN_ihInsiderOfFloatPerc_DESC,Insider Shares as % of Float Desc
SCAN_iiInstitutionalOfFloatPerc_ASC,Institutional Shares as % of Float Asc
SCAN_iiInstitutionalOfFloatPerc_DESC,Institutional Shares as % of Float Desc
SCAN_rcgIntermediateTermEventScore_ASC,Intermediate Term Event Score (Recognia) Asc
SCAN_rcgIntermediateTermEventScore_DESC,Intermediate Term Event Score (Recognia) Desc
SCAN_rcgIntermediateTermTechnicalDate_ASC,Intermediate Term Technical Date (Recognia) Asc
SCAN_rcgIntermediateTermTechnicalDate_DESC,Intermediate Term Technical Date (Recognia) Desc
SCAN_rcgIntermediateTermTrade_ASC,Intermediate Term Trade (Recognia) Asc
SCAN_rcgIntermediateTermTrade_DESC,Intermediate Term Trade (Recognia) Desc
