code,display_name,unit,data_type,min,max
etfALTARBelow,Altar Score (AltaVista) Below,,,,
etfAssetsAbove,Assets Under Management (AltaVista) Above,,,,
etfAssetsBelow,Assets Under Management (AltaVista) Below,,,,
etfAssetTurnsAbove,Asset Turnover Ratio (AltaVista) Above,,,,
etfAssetTurnsBelow,Asset Turnover Ratio (AltaVista) Below,,,,
etfAvgALTARAbove,Avg Altar Score (AltaVista) Above,,,,
etfAvgALTARBelow,Avg Altar Score (AltaVista) Below,,,,
etfBetaSPXAbove,Beta S&P500 (AltaVista) Above,,,,
etfBetaSPXBelow,Beta S&P500 (AltaVista) Below,,,,
etfBidAskPctAbove,Average Bid Ask Spread (AltaVista) Above,,,,
etfBidAskPctBelow,Average Bid Ask Spread (AltaVista) Below,,,,
etfComponent_CountAbove,Number of Components (AltaVista) Above,,,,
etfComponent_CountBelow,Number of Components (AltaVista) Below,,,,
etfCONVEX_WgtAvgAbove,Convexity Weighted Average (AltaVista) Above,,,,
etfCONVEX_WgtAvgBelow,Convexity Weighted Average (AltaVista) Below,,,,
etfCPN_WgtAvgAbove,Coupon Weighted Average (AltaVista) Above,,,,
etfCPN_WgtAvgBelow,Coupon Weighted Average (AltaVista) Below,,,,
etfCurYld_WgtAvgAbove,Current Yield Weighted Average (AltaVista) Above,,,,
etfCurYld_WgtAvgBelow,Current Yield Weighted Average (AltaVista) Below,,,,
etfDevAbove,Developed Market Exposure (AltaVista) Above,,,,
etfDevBelow,Developed Market Exposure (AltaVista) Below,,,,
etfDistribFreqIs,Distribution Frequency (Alta Vista),,,,
etfDUR_WgtAvgAbove,Macaulay Duration Weighted Average (AltaVista) Above,,,,
etfDUR_WgtAvgBelow,Macaulay Duration Weighted Average (AltaVista) Below,,,,
etfEmgAbove,Emerging Market Exposure (AltaVista) Above,,,,
etfEmgBelow,Emerging Market Exposure (AltaVista) Below,,,,
etfExpenseAbove,Expense (AltaVista) Above,,,,
etfExpenseBelow,Expense (AltaVista) Below,,,,
etfFwd_PCFAbove,Forward Price/Cash Flow (AltaVista) Above,,,,
etfFwd_PCFBelow,Forward Price/Cash Flow (AltaVista) Below,,,,
etfFwd_PEAbove,Forward Price/Earnings (AltaVista) Above,,,,
etfFwd_PEBelow,Forward Price/Earnings (AltaVista) Below,,,,
etfFwd_YldAbove,Forward Dividend Yield (AltaVista) Above,,,,
etfFwd_YldBelow,Forward Dividend Yield (AltaVista) Below,,,,
etfLeverageAbove,Leverage (AltaVista) Above,,,,
etfLeverageBelow,Leverage (AltaVista) Below,,,,
etfLTGAbove,Long Term Growth (AltaVista) Above,,,,
etfLTGBelow,Long Term Growth (AltaVista) Below,,,,
etfMaturity_WgtAvgAbove,Maturity Weighted Average (AltaVista) Above,,,,
etfMaturity_WgtAvgBelow,Maturity Weighted Average (AltaVista) Below,,,,
etfMOD_DUR_WgtAvgAbove,Modified Duration Weighted Average (AltaVista) Above,,,,
etfMOD_DUR_WgtAvgBelow,Modified Duration Weighted Average (AltaVista) Below,,,,
etfMoodyRatingAbove,Average Moody Rating (AltaVista) Above,,,,
etfMoodyRatingBelow,Average Moody Rating (AltaVista) Below,,,,
etfNum_DistinctAbove,Number of Issuers (AltaVista) Above,,,,
etfNum_DistinctBelow,Number of Issuers (AltaVista) Below,,,,
etfPayoutAbove,Payout (AltaVista) Above,,,,
etfPayoutBelow,Payout (AltaVista) Below,,,,
etfPct_at_MtyAbove,Portion With Standard Maturity (AltaVista) Above,,,,
etfPct_at_MtyBelow,Portion With Standard Maturity (AltaVista) Below,,,,
etfPct_FixedAbove,Portion With Fixed Interest Rate (AltaVista) Above,,,,
etfPct_FixedBelow,Portion With Fixed Interest Rate (AltaVista) Below,,,,
etfRSIAbove,30-day RSI (AltaVista) Above,,,,
etfRSIBelow,30-day RSI (AltaVista) Below,,,,
etfSht_IntAbove,Short Interest (AltaVista) Above,,,,
etfSht_IntBelow,Short Interest  (AltaVista) Below,,,,
etfSPRatingAbove,Average S&P Rating (AltaVista) Above,,,,
etfSPRatingBelow,Average S&P Rating (AltaVista) Below,,,,
etfTR10yrAbove,10yr Total Return (AltaVista) Above,,,,
etfTR10yrBelow,10yr Total Return (AltaVista) Below,,,,
etfTR1yrAbove,1yr Total Return (AltaVista) Above,,,,
etfTR1yrBelow,1yr Total Return (AltaVista) Below,,,,
etfTR5yrAbove,5yr Total Return (AltaVista) Above,,,,
etfTR5yrBelow,5yr Total Return (AltaVista) Below,,,,
etfTrackingDiffPctAbove,1yr Tracking Difference (AltaVista) Above,,,,
etfTrackingDiffPctBelow,1yr Tracking Difference (AltaVista) Below,,,,
etfTRIncepAbove,Total Return Since Inception (AltaVista) Above,,,,
etfTRIncepBelow,Total Return Since Inception (AltaVista) Below,,,,
etfTRytdAbove,Year-to-Date Total Return (AltaVista) Above,,,,
etfTRytdBelow,Year-to-Date Total Return (AltaVista) Below,,,,
etfYTM_WgtAvgAbove,Yield-To-Maturity Weighted Average (AltaVista) Above,,,,
etfYTM_WgtAvgBelow,Yield-To-Maturity Weighted Average (AltaVista) Below,,,,
excludeConvertible,Exclude Convertible,,,,
feeRateAbove,Fee Rate Above,,,,
feeRateBelow,Fee Rate Below,,,,
firstTradeDateAbove,First Trade Date Above,,,,
firstTradeDateBelow,First Trade Date Below,,,,
haltedIs,Halted,,,,
hasOptionsIs,Has Options,,,,
histDividendFrdAbove,Dividends TTM Above (%),,,,
histDividendFrdBelow,Dividends TTM Below (%),,,,
histDividendFrdYieldAbove,Dividend Yield TTM Above (%),,,,
histDividendFrdYieldBelow,Dividend Yield TTM Below (%),,,,
HVPercntl13wAbove,13 Week HV Percentile Above,,,,
HVPercntl13wBelow,13 Week HV Percentile Below,,,,
HVPercntl26wAbove,26 Week HV Percentile Above,,,,
HVPercntl26wBelow,26 Week HV Percentile Below,,,,
HVPercntl52wAbove,52 Week HV Percentile Above,,,,
HVPercntl52wBelow,52 Week HV Percentile Below,,,,
hvRank13wAbove,13 Week HV Rank Above,,,,
hvRank13wBelow,13 Week HV Rank Below,,,,
HVRank26wAbove,26 Week HV Rank Above,,,,
HVRank26wBelow,26 Week HV Rank Below,,,,
HVRank52wAbove,52 Week HV Rank Above,,,,
HVRank52wBelow,52 Week HV Rank Below,,,,
ihInsiderOfFloatPercAbove,Insider Shares as % of Float Above,,,,
ihInsiderOfFloatPercBelow,Insider Shares as % of Float Below,,,,
ihNumSharesInsiderAbove,# Shares held by Insider Above,,,,
ihNumSharesInsiderBelow,# Shares held by Insider Below,,,,
iiInstitutionalOfFloatPercAbove,Institutional Shares as % of Float Above,,,,
iiInstitutionalOfFloatPercBelow,Institutional Shares as % of Float Below,,,,
iiNumSharesInstitutionalAbove,# Shares held by Institutions Above,,,,
iiNumSharesInstitutionalBelow,# Shares held by Institutions Below,,,,
imbalanceAbove,Imbalance Above,,,,
imbalanceBelow,Imbalance Below,,,,
impVolatAbove,Opt Imp Vol Above,,,,
impVolatBelow,Opt Imp Vol Below,,,,
impVolatChangePercAbove,Opt Imp Vol Change (%) Above,,,,
impVolatChangePercBelow,Opt Imp Vol Change (%) Below,,,,
impVolatOverHistAbove,Opt Imp Vol Over Hist Above,,,,
impVolatOverHistBelow,Opt Imp Vol Over Hist Below,,,,
issuerCountryIs,Issuer Country,,,,
ivPercntl13wAbove,13 Week IV Percentile Above,,,,
ivPercntl13wBelow,13 Week IV Percentile Below,,,,
ivPercntl26wAbove,26 Week IV Percentile Above,,,,
ivPercntl26wBelow,26 Week IV Percentile Below,,,,
ivPercntl52wAbove,52 Week IV Percentile Above,,,,
ivPercntl52wBelow,52 Week IV Percentile Below,,,,
ivRank13wAbove,13 Week IV Rank Above,,,,
ivRank13wBelow,13 Week IV Rank Below,,,,
ivRank26wAbove,26 Week IV Rank Above,,,,
ivRank26wBelow,26 Week IV Rank Below,,,,
ivRank52wAbove,52 Week IV Rank Above,,,,
ivRank52wBelow,52 Week IV Rank Below,,,,
lastVsEMAChangeRatio100Above,Price vs EMA(100) Change(%) Above,,,,
lastVsEMAChangeRatio100Below,Price vs EMA(100) Change(%) Below,,,,
lastVsEMAChangeRatio200Above,Price vs EMA(200) Change(%) Above,,,,
lastVsEMAChangeRatio200Below,Price vs EMA(200) Change(%) Below,,,,
lastVsEMAChangeRatio20Above,Price vs EMA(20) Change(%) Above,,,,
lastVsEMAChangeRatio20Below,Price vs EMA(20) Change(%) Below,,,,
lastVsEMAChangeRatio50Above,Price vs EMA(50) Change(%) Above,,,,
lastVsEMAChangeRatio50Below,Price vs EMA(50) Change(%) Below,,,,
leadFutOnly,Lead Month Only,,,,
lipperAdjustedRSquared1yrAbove,R-Squared Adjusted 1Yr Above,,,,
lipperAdjustedRSquared1yrBelow,R-Squared Adjusted 1Yr Below,,,,
lipperAlpha1yrAbove,Alpha 1Yr Above,,,,
lipperAlpha1yrBelow,Alpha 1Yr Below,,,,
lipperAnnualizedPerformance10yrValueAbove,Annualized Performance 10Yr Above,,,,
lipperAnnualizedPerformance10yrValueBelow,Annualized Performance 10Yr Below,,,,
lipperAnnualizedPerformance3yrValueAbove,Annualized Performance 3Yr Above,,,,
lipperAnnualizedPerformance3yrValueBelow,Annualized Performance 3Yr Below,,,,
lipperAnnualizedPerformance5yrValueAbove,Annualized Performance 5Yr Above,,,,
lipperAnnualizedPerformance5yrValueBelow,Annualized Performance 5Yr Below,,,,
lipperAverageCouponAbove,Average Coupon Above,,,,
lipperAverageCouponBelow,Average Coupon Below,,,,
lipperAverageFinalCompositeZScoreAbove,Average Final Composite Z-Score Above,,,,
lipperAverageFinalCompositeZScoreBelow,Average Final Composite Z-Score Below,,,,
lipperAverageLoss1yrAbove,Average Loss 1Yr Above,,,,
lipperAverageLoss1yrBelow,Average Loss 1Yr Below,,,,
lipperAverageReturn1yrAbove,Average Return 1Yr Above,,,,
lipperAverageReturn1yrBelow,Average Return 1Yr Below,,,,
lipperBearBeta1yrAbove,Bear Beta 1Yr Above,,,,
lipperBearBeta1yrBelow,Bear Beta 1Yr Below,,,,
lipperBeta1yrAbove,Beta 1Yr Above,,,,
lipperBeta1yrBelow,Beta 1Yr Below,,,,
lipperBullBeta1yrAbove,Bull Beta 1Yr Above,,,,
lipperBullBeta1yrBelow,Bull Beta 1Yr Below,,,,
lipperCalculatedAverageQualityAbove,Calculated Average Quality Above,,,,
lipperCalculatedAverageQualityBelow,Calculated Average Quality Below,,,,
lipperCorrelation1yrAbove,Correlation 1Yr Above,,,,
lipperCorrelation1yrBelow,Correlation 1Yr Below,,,,
lipperCovariance1yrAbove,CoVariance 1Yr Above,,,,
lipperCovariance1yrBelow,CoVariance 1Yr Below,,,,
lipperDistributionYield1yrValueAbove,Distribution Yield 1Yr Above,,,,
lipperDistributionYield1yrValueBelow,Distribution Yield 1Yr Below,,,,
lipperDividendPayoutRatio5yrAbove,Dividend Payout Ratio - 5Yr Above,,,,
lipperDividendPayoutRatio5yrBelow,Dividend Payout Ratio - 5Yr Below,,,,
lipperDividendPayoutRatioAbove,Dividend Payout Ratio Above,,,,
lipperDividendPayoutRatioBelow,Dividend Payout Ratio Below,,,,
lipperDividendPerShare1yrAbove,Dividend Per Share 1Yr Above,,,,
lipperDividendPerShare1yrBelow,Dividend Per Share 1Yr Below,,,,
lipperDividendPerShare3yrAbove,Dividend Per Share 3Yr Above,,,,
lipperDividendPerShare3yrBelow,Dividend Per Share 3Yr Below,,,,
lipperDividendYieldWAvgAbove,Dividend Yield Weighted Average Above,,,,
lipperDividendYieldWAvgBelow,Dividend Yield Weighted Average Below,,,,
lipperDividendYieldZScoreAbove,Dividend Yield Z-Score Latest Above,,,,
lipperDividendYieldZScoreBelow,Dividend Yield Z-Score Latest Below,,,,
lipperDownsideDeviationPopulation1yrAbove,Downside Deviation 1Yr Above,,,,
lipperDownsideDeviationPopulation1yrBelow,Downside Deviation 1Yr Below,,,,
lipperEBIT2InterestAbove,EBIT to Interest Above,,,,
lipperEBIT2InterestBelow,EBIT to Interest Below,,,,
lipperEffectiveMaturityAbove,Effective Maturity Above,,,,
lipperEffectiveMaturityBelow,Effective Maturity Below,,,,
lipperEPSGrowth1yrAbove,EPS Growth - 1Yr Above,,,,
lipperEPSGrowth1yrBelow,EPS Growth - 1Yr Below,,,,
lipperEPSGrowth3yrAbove,EPS Growth - 3Yr Above,,,,
lipperEPSGrowth3yrBelow,EPS Growth - 3Yr Below,,,,
lipperEPSGrowth5yrAbove,EPS Growth - 5Yr Above,,,,
